BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,AvgPupPrice,Intelligence,Watchdog,MalaysiaGuardedDog,MalaysiaProhibitedDog,MalaysiaPopularity,PopularityUS2017
Affenpinscher,,Toy,Companion,4,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1000,37,1,,,,147
Afghan Hound,,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",2250,79,1,,,,93
Airedale,Airedale,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",700,29,4,,,,55
Akbash,,Working,Guardian,53,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",600,,5,,,,
Akita,,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1000,54,5,,1,,47
Malamute,Malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1350,50,5,,,,59
Boston Bulldog,,Working,Guardian,38,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social",800,,6,,1,,
American Eskimo,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
American Hairless Terrier,,Terrier,Terrier,5,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",400,,3,,,,126
American Staffordshire Terrier,,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",900,34,3,,1,,83
American Water Spaniel,,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",900,44,4,,,,167
Anatolian Shepherd,,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",800,,6,,,,86
Appenzell Mountain Dog,Appenzeller,Working,Guardian,27,"Energetic, Fearless, Lively, Reliable, Self-assured, Social",700,,5,,,,
Australian Cattle Dog/Blue Heeler,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,10,6,,,,56
Australian Kelpie,Kelpie,Working,Herding,16,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",600,,5,,,,
Australian Shepherd,,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",700,42,5,,,,17
Australian Terrier,,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",1250,34,3,,,,137
Basenji,,Hound,Sight,11,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",1100,78,5,,,,84
Basset Hound,Basset,Hound,Scenthound,26,"Affectionate, Devoted, Friendly, Gentle, Sweet-tempered, Tenacious",400,71,1,,,,39
Beagle,,Hound,Scenthound,11,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",650,72,1,,,,6
Bearded Collie,,Herding,Herding,23,"Active, Alert, Hardy, Intelligent, Lively, Self-confident",1300,34,4,,,,125
Beauceron,,Herding,Herding,50,"Courageous, Obedient, Loyal, Protective, Loving",1350,,5,,,,141
Bedlington Terrier,,Terrier,Terrier,9,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",1900,40,3,,,,151
Belgian Shepherd Dog Sheepdog,Groenendael,Herding,Herding,32,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful, Intelligent",1300,15,6,,,,120
Belgian Shepherd Laekenois,,Herding,Herding,28,"Active, Alert, Energetic, Lively, Protective, Watchful",650,,5,,,,
Belgian Shepherd Malinois,Malinois,Herding,Herding,27,"Active, Alert, Confident, Friendly, Hard-working, Protective, Stubborn, Watchful",700,,6,,,,44
Belgian Shepherd Tervuren,,Herding,Herding,34,"Alert, Attentive, Energetic, Intelligent, Loyal, Protective",1350,14,6,,,,103
Bernese Mountain Dog,,Working,Guardian,44,"Affectionate, Faithful, Intelligent, Loyal",900,22,5,,,,25
Bichon Frise,,Non Sporting,Companion,4,"Affectionate, Cheerful, Feisty, Gentle, Playful, Intelligent, Sensitive",850,45,3,,,,46
Black and Tan Coonhound,,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350,44,3,,,,130
Black Labrador Retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Black Mouth Cur,,Hound,Scenthound,32,"Active, Fearless, Kind, Loyal, Protective, Trainable",400,,3,,,,
Black Russian Terrier,,Working,Guardian,51,"Brave, Confident, Energetic, Hardy, Lively, Stable",2150,,6,,,,116
Bloodhound,,Hound,Scenthound,46,"Affectionate, Even-tempered, Gentle, Stubborn, Independent",1000,74,1,,,,50
Blue Lacy,,Sporting,Gun,18,"Active, Alert, Bold, Devoted, Intelligent, Intense",700,,4,,,,
Bluetick Coonhound,Bluetick,Hound,Scenthound,28,"Friendly, Active, Gentle",550,,1,,,,132
Boerboel,,Working,Guardian,80,"Confident, Dominant, Intelligent, Obedient, Territorial",1750,,6,,,,124
Bolognese,,Working,Companion,3,"Docile, Enterprising, Loyal, Reserved, Serious",1350,,2,,,,
Border Collie,,Herding,Herding,17,"Intelligent, Energetic, Alert, Responsive, Tenacious, Loyal, Protective",700,1,6,,,,38
Border Terrier,,Terrier,Terrier,7,"Affectionate, Alert, Even-tempered, Fearless, Intelligent, Obedient",1300,30,4,,,,92
Borzoi,,Hound,Sight,41,"Athletic, Gentle, Independent, Intelligent, Quiet, Respectful",1100,75,1,,,,102
Boston Terrier,Boston Bull,Non Sporting,Companion,9,"Affectionate, Aggressive, Friendly, Gentle, Intelligent, Lively, Playful",750,54,3,,,,21
Bouvier des Flanders,,Herding,Herding,42,"Familial, Gentle, Intelligent, Loyal, Protective, Rational",1750,29,5,,,,85
Boxer,,Working,Guardian,30,"Brave, Bright, Confident, Energetic, Fearless, Friendly, Intelligent, Loyal, Playful",900,49,5,,,,11
Boykin Spaniel,,Sporting,Gun,15,"Companionable, Eager, Energetic, Friendly, Intelligent, Trainable",900,,3,,,,98
Briard,,Herding,Gun,35,"Faithful, Fearless, Intelligent, Loyal, Obedient, Protective",1100,30,6,,,,127
Brittany Spaniel,,Sporting,Gun,17,"Alert, Independent, Intelligent, Responsive, Social",750,19,3,,,,26
Brussels Griffon,Brabancon Griffon,Toy,Companion,4,"Alert, Companionable, Inquisitive, Self-important, Sensitive, Watchful",900,,3,,,,94
Bull Terrier,American Pit Bull Terrier,Terrier,Terrier,28,"Active, Keen, Protective, Sweet-tempered, Trainable",1350,66,6,,,,60
Bullmastiff,Bull Mastiff,Working,Guardian,55,"Alert, Calm, Courageous, Devoted, Docile, Powerful, Loyal, Protective, Reliable",1350,69,6,1,,,51
Cairn Terrier,Cairn,Terrier,Terrier,7,"Active, Assertive, Courageous, Fearless, Hardy, Intelligent",850,35,4,,,,69
Canaan Dog,,Herding,Sight,21,"Alert, Cautious, Devoted, Quick, Vigilant",1000,,3,,,,175
Cane Corso Mastiff,,Working,Guardian,47,"Cheerful, Courageous, Loyal, Quiet, Social",1750,,6,,,,37
Carolina Dog,,Sight,Sight,18,"Adaptable, Gentle, Loyal, Primitive, Reserved",900,,3,,,,
Catahoula Leopard Dog,,Herding,Herding,27,"Alert, Courageous, Energetic, Gentle, Independent, Intelligent, Loving, Loyal, Protective",400,,6,,,,
Cattle Dog,,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",600,10,6,,,,56
Caucasian Sheepdog (Caucasian Ovtcharka),,Working,Guardian,63,"Alert, Calm, Dominant, Powerful, Quick,Strong",1750,,6,,,,
Cavalier King Charles Spaniel,,Toy,Companion,7,"Affectionate, Cheerful, Courageous, Gentle, Intelligent, Social",1350,44,2,,,,19
Chesapeake Bay Retriever,,Sporting,Gun,33,"Happy, Affectionate, Dominant, Intelligent, Protective, Quiet",800,27,3,,,,43
Chihuahua,,Toy,Companion,2,"Alert, Courageous, Devoted, Lively, Intelligent, Quick",700,67,2,,,,32
Chinese Crested Dog,,Toy,Companion,4,"Affectionate, Alert, Happy, Lively, Playful, Sweet-tempered",900,61,2,,,,79
Chinese Foo Dog,,Working,Northern,25,"Friendly, Devoted, Courageous",2000,,5,,,,
Chinook,,Working,Northern,32,"Alert, Calm, Dignified, Friendly, Responsive",900,,4,,,,179
Chocolate Labrador Retriever,,Sporting,Gun,32,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,7,3,,,,1
Chow Chow,Chow,Non Sporting,Northern,26,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",700,76,3,,,,76
Cirneco dell'Etna,,Hound,Sight,11,"Affectionate, Gentle, Lively",900,,3,,,,184
Clumber Spaniel,Clumber,Sporting,Gun,32,"Gentle, Loyal, Affectionate, Dignified, Aloof",1000,37,3,,,,140
Cockapoo,,Sporting,Gun,8,"Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1000,,3,,,,
Cocker Spaniel,,Sporting,Gun,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",700,20,3,,,,29
Collie,,Herding,Herding,31,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",500,16,5,,,,40
Coonhound,,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",350,44,3,,,,130
Corgi,,Herding,Herding,13,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",1100,26,4,,,,68
Coton de Tulear,,Non Sporting,Companion,6,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",2700,,3,,,,81
Curly-Coated Retriever,,Sporting,Gun,34,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",700,41,3,,,,171
Dachshund,,Hound,Scenthound,7,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",600,49,3,,,,13
Dalmatian,,Non Sporting,Companion,25,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",800,39,3,,,,63
Dandi Dinmont Terrier,Dandie Dinmont,Terrier,Terrier,10,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",1500,62,3,,,,182
Doberman Pinscher,Doberman,Working,Guardian,43,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",900,5,6,1,,,16
Dogo Argentino,,Working,Guardian,43,"Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social",39000,,5,,1,,
Dogue de Bordeaux,,Working,Guardian,60,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",1150,,6,,,,67
Dutch Shepherd,,Herding,Herding,28,"Affectionate, Alert, Loyal, Obedient, Reliable, Trainable",1100,,5,,,,
English Bulldog,,Non Sporting,Companion,25,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",1600,77,3,,,,5
English Cocker Spaniel,,Sporting,Gun,14,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",1050,18,4,,,,52
English Coonhound,,Hound,Scenthound,26,"Active, Energetic, High-strung, Loyal",1100,,4,,,,178
English Pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",450,43,4,,,,113
English Setter,,Sporting,Gun,30,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",500,37,3,,,,95
English Shepherd,,Herding,Herding,25,"Adaptable, Alert, Courageous, Energetic, Friendly, Independent, Intelligent, Playful, Responsibe",900,,4,,,,
English Springer Spaniel,,Sporting,Gun,23,"Affectionate, Alert, Cheerful, Energetic, Intelligent, Playful, Social",750,13,3,,,,27
English Toy Spaniel,Blenheim Spaniel,Toy,Companion,5,"Affectionate, Gentle, Happy, Loving, Playful, Reserved",1400,,3,,,,134
Entlebucher,,Herding,Guardian,27,"Agile, Devoted, Independent, Loyal, Self-confident",1000,,6,,,,152
Eskimo,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
Feist,,Terrier,Terrier,15,"Agile, Alert, Lovable, Spirited, Swift",350,,4,,,,
Field Spaniel,,Sporting,Gun,19,"Adaptable, Cautious, Docile, Familial, Sensitive, Sociable",900,34,3,,,,145
Fila Brasileiro,,Working,Guardian,46,"Brave, Courageous, Determined, Docile, Loyal, Obedient",1150,,5,,1,,
Lapphund Finnish,,Herding,Northern,18,"Calm, Courageous, Faithful, Friendly, Keen",700,,5,,,,173
Finnish Spitz,,Non Sporting,Northern,15,"Happy, Independent, Intelligent, Loyal, Playful, Vocal",600,43,3,,,,177
Flat-coated Retriever,,Sporting,Gun,30,"Friendly, Confident, Devoted, Optimistic, Outgoing, Intelligent",1100,18,5,,,,96
Fox Terrier,,Terrier,Terrier,8,"Active, Affectionate, Alert, Fearless, Intelligent, Playful",850,40,3,,,,122
Foxhound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",500,46,2,,,,187
French Bulldog,,Non Sporting,Companion,12,"Affectionate, Playful, Alert, Athletic, Bright, Easygoing, Keen, Lively, Patient",3000,58,3,,,,4
Galgo Spanish Greyhound,,Hound,Sight,25,"Affectionate, Calm, Quiet, Gentle",700,,3,,,,
German Pinscher,,Working,Terrier,14,"Even-tempered, Familial, Courageous, Lively, Loving, Spirited",1500,,6,1,,,136
German Shepherd Dog,German Shepherd,Herding,Herding,35,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,3,6,1,,8,2
German Shorthaired Pointer,German Short Haired Pointer,Working,Gun,29,"Affectionate, Boisterous, Bold, Cooperative, Intelligent, Trainable",700,17,3,,,,10
German Spitz,,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",700,,4,,,,118
German Wirehaired Pointer,,Sporting,Gun,30,"Active, Affectionate, Friendly, Intelligent, Loyal, Willful, Responsive",800,44,6,,,,62
Giant Schnauzer,,Working,Companion,38,"Dominant, Intelligent, Kind, Loyal, Powerful, Strong-willed",1250,28,6,,,,80
Glen of Imaal Terrier,,Terrier,Terrier,16,"Active, Agile, Courageous, Gentle, Loyal, Spirited",900,,3,,,,158
Golden Retriever,,Sporting,Gun,32,"Confident, Friendly, Intelligent, Kind, Reliable, Trustworthy",1500,4,3,,,6,3
Gordon Setter,,Sporting,Gun,31,"Alert, Confident, Eager, Fearless, Loyal, Intelligent",900,34,4,,,,104
Great Dane,,Working,Guardian,77,"Friendly, Confident, Devoted, Intelligent, Gentle, Loving, Reserved",1000,48,5,,,,14
Great Pyrenees,,Working,Guardian,45,"Affectionate, Confident, Fearless, Gentle, Patient, Strong-willed",800,64,6,,,,66
Greater Swiss Mountain Dog,,Working,Guardian,60,"Alert, Devoted, Fearless, Good-natured, Protective, Self-confident",2250,,5,,,,75
Greyhound,,Hound,Sight,33,"Intelligent, Gentle, Affectionate, Athletic, Even-tempered, Quiet",650,46,3,,,,156
Harrier,,Hound,Scenthound,22,"Active, Cheerful, Friendly, Outgoing, Sweet-tempered, Tolerant",350,,2,,,,183
Havanese,,Toy,Companion,5,"Affectionate, Companionable, Gentle, Intelligent, Playful, Responsive",1050,,3,,,,23
Hound,,Hound,Scenthound,32,"Independent, Intelligent, Kind, Loving, Loyal, Sweet-tempered",500,46,2,,,,187
Hovawart,,Working,Guardian,38,"Watchful, Even-tempered, Reserved, Active, Devoted",1100,,6,,,,
Husky,,Working,Northern,24,"Alert, Friendly, Gentle, Intelligent, Outgoing",950,45,1,,,,12
Ibizan Hound,,Hound,Sight,22,"Active, Clownish, Engaging, Independent, Intelligent, Stubborn",1000,53,3,,,,165
Illyrian Sheepdog,,Herding,Herding,40,"Independent, Reliable, Devoted, Protective",1500,,6,,,,
